name_old;name_new
Макароны Makfa Спагетти 500г;Спагетти Макфа
Макароны Makfa Перья 450г;Макароны Макфа
Оливки Maestro de Oliva без косточки 300г;Оливки
Маслины Bonduelle Classique без косточки 300г;Маслины
Горошек Bonduelle Classique зеленый Нежный 400г;Горошек
Кукуруза 6 Соток сладкая 340г;Кукуруза
Сок Добрый Яблочный 2л;Яблочный сок
Сок Nar Гранатовый 1л;Гранатовый сок
Туалетная бумага Papia 4 рулона 3 слоя;Туалетная бумага
Тесто слоеное Хлебный Дом Звездное дрожжевое 500г;Готовое тесто
Молоко Простоквашино 3.2% 950мл;Молоко
Масло сладко-сливочное Экомилк Крестьянское 72.5% 180г;Масло сливочное
Масло подсолнечное Золотая Семечка без запаха 1л;Масло подсолнечное
Рис Мистраль Янтарь пропаренный длиннозерный 900г;Рис
Кетчуп Heinz Томатный 1кг;Кетчуп
Чай черный Ahmad Tea Classic Black Tea 25 пак;Чай
Шампунь для волос Elseve Полное восстановление 400мл;Шампунь
Гель для стирки Persil Power Gel Color 1.46л;Гель для стирки
